First Name,Last Name,Gender,Date of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Year of Joining,DOW of Joining,Age in Company (Years),Initial Salary,Salary increase % ,State,Region
Wilton,Morrison,M,3/28/1980,37.36,58,5/25/2013,2013,Saturday,4.18,57140,30%,WI,Midwest
Roxann,Hamer,F,9/15/1974,42.9,40,11/7/2000,2000,Tuesday,16.73,150130,13%,CT,Northeast
Alfonso,Stonge,M,5/27/1992,25.19,68,5/17/2016,2016,Tuesday,1.2,85760,13%,MI,Midwest
Alan,Gold,M,2/13/1960,57.49,51,5/27/1981,1981,Wednesday,36.19,185071,26%,WA,West
Joycelyn,Barrientos,F,10/13/1991,25.81,53,4/15/2013,2013,Monday,4.29,118534,29%,TN,South
Glady,Baumgardner,F,2/8/1961,56.5,56,10/6/2001,2001,Saturday,15.82,93956,16%,MA,Northeast
Trinidad,Major,M,10/25/1981,35.78,51,3/22/2017,2017,Wednesday,0.35,70258,12%,IN,Midwest
Alden,Nesmith,M,7/3/1974,43.1,86,1/18/2016,2016,Monday,1.53,183646,12%,IL,Midwest
Ariel,Mauldin,F,11/8/1977,39.75,56,3/29/2007,2007,Thursday,10.34,146599,6%,NY,Northeast
Loreta,Southard,F,6/8/1987,30.16,45,1/11/2017,2017,Wednesday,0.54,138395,10%,IL,Midwest
Tom,Dingle,M,11/5/1985,31.75,73,11/27/2010,2010,Saturday,6.67,71041,11%,PA,Northeast
Azucena,Yount,F,5/13/1980,37.23,48,12/14/2015,2015,Monday,1.62,138992,20%,MN,Midwest
Jona,Root,F,10/9/1990,26.82,60,2/20/2013,2013,Wednesday,4.44,127476,8%,OH,Midwest
Jenice,Magnuson,F,11/15/1978,38.73,43,6/5/2011,2011,Sunday,6.15,55020,22%,VA,South
Clarita,Selby,F,10/12/1993,23.81,41,6/18/2015,2015,Thursday,2.11,143393,21%,AL,South
Mafalda,Henry,F,3/25/1959,58.38,59,7/9/2011,2011,Saturday,6.06,175258,7%,DC,South
Kevin,Mcginnis,M,2/22/1981,36.45,86,2/23/2014,2014,Sunday,3.43,98715,2%,FL,South
Al,Whitfield,M,8/28/1958,58.96,67,12/1/1994,1994,Thursday,22.67,101185,5%,NC,South
Anthony,Beane,M,11/22/1980,36.7,83,4/30/2017,2017,Sunday,0.24,165252,5%,VA,South
Edmund,Barnard,M,6/6/1961,56.18,90,6/7/1995,1995,Wednesday,22.16,148627,22%,NY,Northeast
Bernice,Dodds,F,4/12/1973,44.32,47,7/19/2010,2010,Monday,7.03,101772,7%,OR,West
Jason,Cooke,M,8/13/1989,27.98,59,7/23/2016,2016,Saturday,1.01,42522,2%,WI,Midwest
Olevia,Pederson,F,12/3/1966,50.68,46,10/25/2004,2004,Monday,12.76,49713,18%,ME,Northeast
Michiko,Pyle,F,9/15/1969,47.9,48,6/10/1999,1999,Thursday,18.15,129812,12%,WV,South
Dusty,Dabney,M,9/23/1967,49.88,70,11/19/2001,2001,Monday,15.7,174507,16%,WY,West
Katelyn,Woody,F,10/13/1959,57.83,40,5/24/1985,1985,Friday,32.2,135451,12%,NJ,Northeast
Aurelio,Caban,M,7/27/1996,21.02,60,7/22/2017,2017,Saturday,0.02,157531,1%,MS,South
Derek,Burleson,M,8/31/1957,59.95,60,10/23/1987,1987,Friday,29.78,126556,27%,NE,Midwest
Sheena,Folsom,F,10/11/1960,56.83,55,10/4/2011,2011,Tuesday,5.82,63687,18%,IL,Midwest
Noma,Moreland,F,8/31/1991,25.93,50,1/24/2014,2014,Friday,3.51,69666,20%,NY,Northeast
Karrie,Jernigan,F,2/14/1964,53.49,54,6/12/1988,1988,Sunday,29.15,149611,3%,PA,Northeast
Margaret,Richmond,F,3/18/1987,30.38,57,1/9/2016,2016,Saturday,1.55,166136,9%,CA,West
Ike,Schmid,M,12/11/1963,53.67,79,10/22/1999,1999,Friday,17.78,97488,25%,FL,South
Buddy,Hendrickson,M,1/2/1994,23.58,74,3/22/2017,2017,Wednesday,0.35,190648,0%,MD,South
Rickie,Lawson,M,9/14/1983,33.89,86,11/16/2009,2009,Monday,7.7,119519,15%,FL,South
Ira,Winslow,M,3/11/1994,23.4,80,7/9/2016,2016,Saturday,1.05,97857,10%,MN,Midwest
Garth,Switzer,M,6/22/1984,33.12,60,7/9/2008,2008,Wednesday,9.06,177989,17%,PA,Northeast
Barrett,Osborn,M,2/1/1993,24.5,71,3/26/2015,2015,Thursday,2.34,42154,16%,NY,Northeast
Arturo,Bottoms,M,1/19/1980,37.55,62,4/13/2005,2005,Wednesday,12.3,165975,24%,GA,South
Merle,Hester,M,10/12/1963,53.83,82,8/21/1986,1986,Thursday,30.96,75558,27%,IN,Midwest
Ellis,Villalobos,M,11/24/1966,50.71,70,7/15/2017,2017,Saturday,0.04,93675,21%,OH,Midwest
Jeana,Wampler,F,4/24/1996,21.27,54,6/20/2017,2017,Tuesday,0.1,148728,2%,TX,South
Jackeline,Gilman,F,10/23/1980,36.79,55,5/16/2002,2002,Thursday,15.21,165357,21%,MO,Midwest
Wynell,Barksdale,F,12/11/1988,28.65,40,1/7/2015,2015,Wednesday,2.56,120107,25%,CO,West
Luann,Hooks,F,5/26/1968,49.21,57,9/16/2011,2011,Friday,5.87,191941,5%,MS,South
Verlie,Logan,F,9/20/1972,44.88,56,5/17/2008,2008,Saturday,9.2,158190,30%,AL,South
Jayson,Reich,M,2/23/1980,37.45,56,7/3/2012,2012,Tuesday,5.07,64197,6%,FL,South
Werner,Knox,M,2/16/1978,39.47,81,5/11/2016,2016,Wednesday,1.21,41906,30%,VA,South
Young,Martino,M,6/11/1983,34.15,88,10/7/2011,2011,Friday,5.81,171583,2%,ND,Midwest
Johnson,Tirado,M,5/24/1989,28.2,83,1/21/2015,2015,Wednesday,2.52,64144,9%,OR,West
Beulah,Purvis,F,3/16/1958,59.41,57,10/15/1988,1988,Saturday,28.8,51686,6%,SD,Midwest
Perry,Toliver,M,7/15/1986,31.06,73,8/29/2008,2008,Friday,8.92,43385,12%,PA,Northeast
Amada,Jackson,F,4/2/1963,54.36,52,8/27/2002,2002,Tuesday,14.93,155309,26%,LA,South
Israel,Hoppe,M,2/15/1958,59.49,86,9/29/1979,1979,Saturday,37.85,188476,5%,AZ,West
Glenn,Scribner,F,7/28/1978,39.03,46,4/13/2005,2005,Wednesday,12.3,132169,11%,VA,South
Drucilla,Keefer,F,10/22/1962,54.8,46,12/29/2005,2005,Thursday,11.59,81509,27%,CT,Northeast
Raphael,Crowell,M,3/14/1991,26.39,50,10/20/2016,2016,Thursday,0.77,42228,19%,TN,South
Emanuel,Neville,M,9/14/1966,50.9,71,4/29/2001,2001,Sunday,16.26,83850,13%,VA,South
Joseph,Caskey,M,11/22/1973,43.71,61,1/6/2008,2008,Sunday,9.56,57646,6%,PA,Northeast
Magdalene,Foster,F,5/15/1963,54.24,60,5/3/2008,2008,Saturday,9.24,70270,23%,CA,West
Wilma,Shaw,F,6/30/1990,27.1,51,11/8/2016,2016,Tuesday,0.72,180359,30%,WV,South
Granville,Pak,M,8/7/1986,30.99,63,3/26/2014,2014,Wednesday,3.34,196215,16%,OH,Midwest
Alverta,Bevins,F,4/1/1960,57.36,55,12/19/1991,1991,Thursday,25.62,100279,12%,TX,South
Silas,Lanier,M,1/17/1977,40.55,88,1/30/2011,2011,Sunday,6.5,123194,27%,LA,South
Alia,Adcock,F,7/12/1977,40.07,56,1/16/2015,2015,Friday,2.53,159126,0%,IL,Midwest
Malik,Cruz,M,5/29/1970,47.2,62,2/28/2012,2012,Tuesday,5.42,47298,23%,IA,Midwest
Melania,Rose,F,9/12/1978,38.9,40,2/18/2014,2014,Tuesday,3.44,104879,8%,WI,Midwest
Emil,Parris,M,7/15/1983,34.06,80,10/18/2011,2011,Tuesday,5.78,195839,26%,CA,West
Morton,Townsend,M,6/1/1964,53.19,77,8/2/1997,1997,Saturday,20,41857,9%,WA,West
Elanor,Seay,F,4/5/1988,29.33,53,1/30/2017,2017,Monday,0.49,137111,12%,OK,South
Johnny,Paris,M,10/31/1958,58.78,72,2/11/1981,1981,Wednesday,36.48,181419,26%,KY,South
Darren,Stanford,M,11/19/1972,44.72,57,6/11/2009,2009,Thursday,8.13,88290,20%,GA,South
Ethelyn,Simpkins,F,7/6/1978,39.09,46,3/4/2014,2014,Tuesday,3.4,198291,18%,CA,West
Jarrett,Eddy,M,6/24/1974,43.12,80,2/26/2010,2010,Friday,7.42,46442,21%,MN,Midwest
Ethan,Chappell,M,2/28/1972,45.44,54,11/20/2016,2016,Sunday,0.68,157524,22%,NE,Midwest
Laurine,Garza,F,12/23/1964,52.63,47,7/20/2015,2015,Monday,2.02,127669,8%,WA,West
Amira,Guinn,F,12/11/1964,52.66,41,1/31/2014,2014,Friday,3.49,57068,12%,KY,South
Reiko,Hale,F,12/2/1980,36.68,47,4/19/2009,2009,Sunday,8.28,99367,13%,LA,South
Aretha,Webber,F,9/25/1978,38.87,54,3/15/2003,2003,Saturday,14.38,190979,12%,CA,West
Bryon,Hillman,M,1/22/1990,27.53,75,9/29/2014,2014,Monday,2.83,130625,27%,GA,South
Kory,Burnette,M,1/11/1962,55.58,73,8/31/1988,1988,Wednesday,28.93,98240,28%,MN,Midwest
Keven,Henke,M,8/15/1962,54.99,64,8/15/1994,1994,Monday,22.97,185736,7%,PA,Northeast
Dottie,Polanco,F,7/28/1963,54.04,52,5/1/1996,1996,Wednesday,21.25,142223,1%,UT,West
Randy,Hopkins,M,4/13/1991,26.31,68,7/8/2014,2014,Tuesday,3.06,165840,27%,NV,West
Issac,Gaddis,M,10/30/1964,52.78,78,2/6/2002,2002,Wednesday,15.48,45759,10%,TX,South
Nathaniel,Blackmon,M,2/21/1992,25.45,90,9/24/2013,2013,Tuesday,3.84,63685,0%,NY,Northeast
Etta,Schuler,F,2/18/1995,22.45,45,2/12/2017,2017,Sunday,0.45,106850,3%,MN,Midwest
Sherlyn,Lindgren,F,2/14/1961,56.49,55,12/14/2002,2002,Saturday,14.63,76526,20%,WI,Midwest
Garry,Moen,M,8/26/1983,33.95,74,12/24/2012,2012,Monday,4.59,139989,3%,TX,South
Toby,Lima,M,4/7/1967,50.34,76,5/8/1996,1996,Wednesday,21.24,182132,13%,MA,Northeast
Anna,Lyles,F,12/17/1971,45.64,50,3/10/2005,2005,Thursday,12.39,188115,18%,FL,South
Lucius,Oliva,M,11/20/1960,56.72,69,10/24/2011,2011,Monday,5.76,162929,6%,KY,South
Leslie,Osorio,M,7/16/1985,32.05,76,2/8/2013,2013,Friday,4.47,50194,29%,IN,Midwest
Clifton,Lowry,M,4/8/1981,36.33,52,3/28/2003,2003,Friday,14.35,143271,30%,IL,Midwest
Twila,Breen,F,12/16/1992,24.63,45,5/20/2016,2016,Friday,1.19,149423,5%,MO,Midwest
Carita,Mckinley,F,4/11/1984,33.32,40,4/4/2007,2007,Wednesday,10.32,144823,3%,TX,South
Kacy,Blackburn,F,10/5/1991,25.83,49,11/6/2013,2013,Wednesday,3.73,67051,14%,CA,West
Eugenio,Braswell,M,8/11/1991,25.98,57,12/17/2013,2013,Tuesday,3.61,85082,29%,CA,West
Anabel,Hazel,F,2/15/1987,30.47,57,10/18/2009,2009,Sunday,7.78,66841,30%,TN,South
Elana,Good,F,11/17/1976,40.72,60,9/14/2002,2002,Saturday,14.88,84015,29%,AL,South
Enedina,Lima,F,4/30/1980,37.27,59,4/13/2013,2013,Saturday,4.29,95140,18%,IL,Midwest
Roger,Benoit,M,5/7/1995,22.24,56,2/12/2017,2017,Sunday,0.45,183825,29%,PA,Northeast
Maryjane,Grayson,F,11/20/1966,50.72,55,6/23/2004,2004,Wednesday,13.1,61588,7%,MI,Midwest
Corrine,Lockhart,F,8/3/1972,45.01,42,2/8/2017,2017,Wednesday,0.47,66842,21%,AZ,West
Bryce,Hirsch,M,6/20/1983,34.13,57,4/4/2006,2006,Tuesday,11.32,125446,27%,WV,South
Torri,Ralph,F,8/24/1970,46.96,49,1/3/2000,2000,Monday,17.58,196541,14%,OK,South
Suanne,Wyant,F,8/21/1969,47.97,54,5/13/2002,2002,Monday,15.22,72542,16%,GA,South
Rich,Lucas,M,3/1/1996,21.42,70,7/22/2017,2017,Saturday,0.02,86675,17%,IN,Midwest
Michale,Truitt,M,2/26/1990,27.44,74,3/2/2016,2016,Wednesday,1.41,107861,12%,IL,Midwest
Letisha,Cordell,F,3/28/1974,43.36,56,10/29/2005,2005,Saturday,11.75,163552,25%,OH,Midwest
Donnetta,Warden,F,4/20/1960,57.31,54,7/31/1981,1981,Friday,36.02,148737,29%,FL,South
Demarcus,Thompson,M,10/17/1965,51.81,69,2/10/2017,2017,Friday,0.46,126414,29%,MI,Midwest
Frankie,Buckner,M,8/15/1965,51.99,81,9/29/2012,2012,Saturday,4.83,183686,15%,MA,Northeast
Voncile,Pickens,F,1/11/1966,51.58,40,8/25/2007,2007,Saturday,9.93,190961,8%,VA,South
Jenette,Goode,F,10/4/1967,49.85,40,9/19/2004,2004,Sunday,12.86,141860,26%,AL,South
Dee,Bergstrom,M,5/27/1985,32.19,74,7/25/2012,2012,Wednesday,5.01,120989,22%,WI,Midwest
Idalia,Marr,F,10/7/1987,29.83,53,1/27/2016,2016,Wednesday,1.5,158124,0%,LA,South
Hiram,Sisk,M,6/23/1984,33.12,68,2/2/2011,2011,Wednesday,6.49,113154,12%,NC,South
Efren,Renteria,M,5/16/1987,30.22,57,12/4/2016,2016,Sunday,0.65,78758,16%,OH,Midwest
Fransisca,Storm,F,5/25/1974,43.21,53,7/10/2003,2003,Thursday,14.06,119864,23%,IN,Midwest
Sherri,Cochrane,F,10/18/1993,23.79,45,12/24/2014,2014,Wednesday,2.59,132788,29%,MI,Midwest
Angel,Lo,M,3/21/1971,46.39,67,5/26/2013,2013,Sunday,4.18,155296,23%,NY,Northeast
Celena,Eaton,F,7/16/1961,56.07,59,12/7/1984,1984,Friday,32.66,93934,11%,AZ,West
Buck,Worsham,M,12/21/1959,57.64,80,7/15/2011,2011,Friday,6.04,169534,22%,AL,South
Rusty,Ponce,M,8/17/1994,22.96,54,1/22/2016,2016,Friday,1.52,58194,26%,MD,South
Kiesha,Groce,F,5/31/1985,32.18,54,8/6/2014,2014,Wednesday,2.98,195835,24%,MS,South
My,Herzog,F,1/14/1994,23.55,45,4/3/2016,2016,Sunday,1.32,82044,5%,PA,Northeast
Alita,Gomez,F,9/3/1979,37.93,43,4/2/2010,2010,Friday,7.33,76022,0%,MN,Midwest
Josefa,Rhodes,F,5/28/1977,40.19,55,7/22/2013,2013,Monday,4.02,126267,3%,WA,West
Margert,Hargis,F,5/28/1989,28.19,43,5/25/2014,2014,Sunday,3.18,188999,27%,PA,Northeast
Garret,Lavigne,M,10/5/1979,37.84,66,8/14/2013,2013,Wednesday,3.96,190405,21%,NY,Northeast
Mackenzie,Galloway,F,12/19/1983,33.63,50,1/4/2016,2016,Monday,1.56,167387,4%,LA,South
Karisa,Hyde,F,1/1/1964,53.61,40,9/20/2003,2003,Saturday,13.86,82837,24%,GA,South
Yuriko,Cottle,F,2/11/1985,32.48,41,9/2/2013,2013,Monday,3.9,147297,27%,IL,Midwest
Dannie,Handley,M,12/23/1974,42.62,86,9/15/1997,1997,Monday,19.88,71485,18%,KS,Midwest
Mariah,Galloway,F,8/20/1972,44.97,51,4/9/2000,2000,Sunday,17.31,176216,2%,MT,West
Mickey,Cecil,M,7/3/1991,26.09,55,8/20/2013,2013,Tuesday,3.94,180140,14%,TX,South
Yuk,Bowers,F,7/23/1994,23.03,57,4/5/2017,2017,Wednesday,0.31,164022,20%,WV,South
Ina,Poe,F,12/26/1982,34.61,49,3/10/2013,2013,Sunday,4.39,95413,9%,NC,South
Ricardo,Carson,M,4/28/1975,42.28,66,5/23/2017,2017,Tuesday,0.18,82127,6%,TN,South
Lesley,Macmillan,F,10/25/1975,41.79,49,9/13/2011,2011,Tuesday,5.88,89318,18%,AL,South
Jamee,Sasser,F,6/2/1962,55.19,42,3/22/2013,2013,Friday,4.35,155744,29%,LA,South
Belva,Lear,F,7/31/1973,44.02,43,4/29/2003,2003,Tuesday,14.26,42471,16%,AL,South
Ellamae,Mallard,F,1/10/1993,24.56,47,7/30/2015,2015,Thursday,2,194273,6%,FL,South
Hedwig,Mcduffie,F,12/27/1964,52.62,51,10/28/2012,2012,Sunday,4.75,92921,20%,PA,Northeast
Ruthann,Arsenault,F,5/22/1970,47.22,58,5/4/2016,2016,Wednesday,1.23,124819,21%,NY,Northeast
Jackqueline,Vinson,F,7/3/1980,37.09,43,12/22/2002,2002,Sunday,14.61,75599,24%,AR,South
Stan,Sander,M,8/26/1978,38.95,90,1/18/2013,2013,Friday,4.53,153834,12%,NY,Northeast
Jere,Farley,M,11/4/1963,53.77,65,6/26/2009,2009,Friday,8.09,77403,11%,IL,Midwest
Ernie,Burrell,M,11/9/1983,33.74,62,1/13/2008,2008,Sunday,9.55,141880,3%,MI,Midwest
Major,Haddad,M,1/11/1965,52.58,52,4/14/1995,1995,Friday,22.3,152894,7%,OH,Midwest
Kimberely,Tate,F,5/25/1973,44.21,42,1/20/2000,2000,Thursday,17.53,56522,5%,WI,Midwest
Sanda,Caro,F,5/31/1992,25.18,40,1/2/2015,2015,Friday,2.57,165626,30%,MS,South
Ahmad,Dabney,M,4/19/1988,29.29,85,6/19/2012,2012,Tuesday,5.11,48343,20%,IN,Midwest
Mac,Roger,M,5/8/1991,26.24,73,3/8/2015,2015,Sunday,2.39,120105,21%,OK,South
Cherri,Weems,F,5/10/1970,47.25,56,7/25/2016,2016,Monday,1.01,175083,26%,AR,South
Johnny,Hargrave,M,7/12/1988,29.06,86,10/2/2009,2009,Friday,7.82,109358,4%,MS,South
Dede,Mock,F,10/21/1969,47.8,44,7/8/2015,2015,Wednesday,2.06,158906,22%,NE,Midwest
Nestor,Taylor,M,3/25/1973,44.37,77,2/7/2017,2017,Tuesday,0.47,163142,30%,VA,South
Noel,Arreola,M,12/21/1972,44.63,62,2/10/1997,1997,Monday,20.47,81791,20%,NH,Northeast
Theodora,Gaddy,F,3/10/1983,34.41,51,12/6/2014,2014,Saturday,2.64,161772,25%,TX,South
Peter,Ham,M,7/14/1973,44.07,63,2/3/2015,2015,Tuesday,2.48,84047,25%,DC,South
Meghann,Beers,F,5/5/1966,51.27,53,1/19/2012,2012,Thursday,5.53,180570,20%,IL,Midwest
Rene,Macmillan,M,7/23/1975,42.04,62,3/30/2011,2011,Wednesday,6.33,50953,29%,MA,Northeast
Delores,Woodworth,F,2/26/1964,53.45,60,11/5/1989,1989,Sunday,27.75,69947,11%,CA,West
Jeanetta,Mclaughlin,F,4/23/1967,50.3,48,2/28/1996,1996,Wednesday,21.43,152527,1%,PA,Northeast
Erin,Custer,M,11/7/1992,24.74,90,1/4/2017,2017,Wednesday,0.56,156108,17%,WA,West
Collin,Holcomb,M,10/8/1982,34.83,71,10/15/2014,2014,Wednesday,2.79,101409,25%,IA,Midwest
Lavonda,Greco,F,5/23/1973,44.21,43,12/19/2001,2001,Wednesday,15.62,187373,6%,MN,Midwest
Maryjo,Vasquez,F,1/5/1978,39.59,57,12/15/2007,2007,Saturday,9.62,153885,17%,RI,Northeast
Darron,Mallard,M,12/22/1982,34.62,68,11/13/2016,2016,Sunday,0.7,91134,5%,ND,Midwest
Jessie,Peyton,F,2/21/1990,27.45,41,11/28/2012,2012,Wednesday,4.67,199025,23%,NE,Midwest
Tawny,Block,F,8/25/1970,46.96,53,3/13/2016,2016,Sunday,1.38,66438,10%,WI,Midwest
Wanetta,Weiss,F,3/6/1994,23.41,46,5/16/2017,2017,Tuesday,0.2,40944,19%,MN,Midwest
Jarvis,Reeve,M,5/1/1989,28.26,52,5/26/2014,2014,Monday,3.18,137182,23%,MA,Northeast
Laurene,Early,F,7/29/1964,53.03,45,5/3/1991,1991,Friday,26.25,179203,22%,AZ,West
Agnus,Rawlins,F,11/16/1969,47.73,59,5/13/2002,2002,Monday,15.22,130945,11%,NJ,Northeast
Willie,Seifert,M,6/11/1985,32.15,84,12/20/2010,2010,Monday,6.61,192310,22%,AR,South
Israel,Romero,M,8/2/1972,45.02,51,11/19/1998,1998,Thursday,18.7,128440,0%,OR,West
Daniel,Hartman,M,10/7/1980,36.83,77,11/16/2005,2005,Wednesday,11.7,189374,15%,IL,Midwest
Johnathan,Cochran,M,10/5/1980,36.84,90,3/6/2010,2010,Saturday,7.4,188596,23%,MI,Midwest
Milan,Velasco,M,1/16/1961,56.57,73,7/3/2008,2008,Thursday,9.07,114863,28%,TX,South
Arlie,Kay,M,10/31/1976,40.77,86,5/28/1998,1998,Thursday,19.18,114255,28%,WI,Midwest
Randy,Mcgraw,M,11/14/1967,49.74,53,5/18/2002,2002,Saturday,15.21,51500,30%,TX,South
Loyd,Archer,M,3/29/1989,28.35,85,5/13/2016,2016,Friday,1.21,63503,4%,WI,Midwest
Mae,Lombard,F,4/13/1989,28.31,59,7/10/2011,2011,Sunday,6.05,66273,12%,PA,Northeast
Yan,Mcgregor,F,3/8/1993,24.41,48,10/3/2014,2014,Friday,2.82,131627,21%,ME,Northeast
Neal,Mcmillan,M,10/25/1962,54.79,73,8/7/1999,1999,Saturday,17.99,104578,5%,IA,Midwest
Kina,Faison,F,12/26/1976,40.61,60,11/15/2002,2002,Friday,14.71,108685,6%,NY,Northeast
Ed,Siler,M,3/1/1983,34.43,76,1/3/2016,2016,Sunday,1.57,157486,17%,WI,Midwest
Alexis,Mccray,M,4/4/1979,38.34,72,5/11/2007,2007,Friday,10.22,177717,9%,CA,West
Reed,Hoff,M,12/3/1973,43.68,69,6/5/1997,1997,Thursday,20.16,167131,2%,PA,Northeast
Krysten,Tan,F,11/15/1979,37.73,60,6/18/2009,2009,Thursday,8.12,158565,15%,GA,South
Kacy,Chisholm,F,9/20/1992,24.87,53,10/2/2015,2015,Friday,1.82,135229,2%,MA,Northeast
Marcos,Gaither,M,8/4/1995,22,74,2/27/2017,2017,Monday,0.41,62336,29%,VT,Northeast
Sarah,Byrne,F,5/27/1961,56.21,47,4/25/2016,2016,Monday,1.26,139717,29%,VA,South
Renaldo,Vaughn,M,7/13/1990,27.06,79,9/27/2015,2015,Sunday,1.84,121473,21%,MN,Midwest
Lan,Shelby,F,8/24/1990,26.95,41,11/8/2015,2015,Sunday,1.72,164515,5%,KS,Midwest
Jc,Wendt,M,4/11/1991,26.32,52,11/15/2012,2012,Thursday,4.7,100458,25%,MS,South
Louis,Tabor,M,10/4/1973,43.84,50,11/5/2012,2012,Monday,4.73,167422,29%,IL,Midwest
Roseanna,Reynoso,F,11/6/1977,39.75,46,10/14/2011,2011,Friday,5.79,132145,1%,MN,Midwest
Florrie,Catron,F,9/23/1969,47.88,49,9/11/2003,2003,Thursday,13.89,51131,13%,NY,Northeast
Bob,Settle,M,5/7/1979,38.25,76,11/24/2008,2008,Monday,8.68,84708,10%,SC,South
Jody,Dial,M,6/1/1972,45.19,71,1/3/1995,1995,Tuesday,22.58,42367,22%,IN,Midwest
Alfredo,Colwell,M,5/26/1984,33.19,57,3/2/2014,2014,Sunday,3.41,104223,2%,WV,South
Mollie,Seaton,F,5/3/1962,55.27,49,8/15/2012,2012,Wednesday,4.95,104153,18%,CA,West
Arnulfo,Clemens,M,4/29/1978,39.27,67,1/1/2014,2014,Wednesday,3.57,57869,10%,WV,South
Eilene,Coronado,F,2/18/1968,49.47,44,2/17/2002,2002,Sunday,15.45,86202,16%,NY,Northeast
Benton,Nettles,M,1/10/1990,27.56,87,7/2/2016,2016,Saturday,1.07,122758,16%,NE,Midwest
Melanie,Huffman,F,12/18/1981,35.63,60,3/3/2007,2007,Saturday,10.41,118433,22%,VA,South
Sage,Bolin,F,9/20/1992,24.87,52,6/12/2014,2014,Thursday,3.13,165383,21%,NJ,Northeast
Sharee,Keane,F,7/10/1962,55.09,52,2/13/1995,1995,Monday,22.47,152609,16%,CT,Northeast
George,Burnham,F,4/25/1970,47.29,48,4/21/2002,2002,Sunday,15.28,76703,18%,TN,South
Joette,Neel,F,10/5/1964,52.85,44,1/7/1992,1992,Tuesday,25.57,157105,17%,NY,Northeast
Jacqualine,Peterman,F,7/18/1993,24.04,54,9/17/2015,2015,Thursday,1.86,67842,5%,TX,South
Krystin,Copley,F,7/22/1967,50.05,52,2/16/1997,1997,Sunday,20.46,109799,6%,WV,South
Dwight,Outlaw,M,1/9/1994,23.56,82,9/27/2016,2016,Tuesday,0.83,131420,11%,CA,West
Ted,Minnick,M,11/28/1983,33.69,76,7/31/2010,2010,Saturday,7,94086,7%,PA,Northeast
Willian,Speer,M,10/14/1976,40.81,68,10/21/2001,2001,Sunday,15.78,153502,17%,IL,Midwest
Alia,Corbett,F,1/24/1986,31.53,43,5/28/2013,2013,Tuesday,4.17,43018,5%,OK,South
Wendie,Burdick,F,9/29/1969,47.86,49,6/22/1994,1994,Wednesday,23.12,121177,14%,ND,Midwest
Deandre,Fairchild,M,4/2/1996,21.33,89,7/12/2017,2017,Wednesday,0.04,156573,3%,NY,Northeast
Nathalie,Ohara,F,11/20/1982,34.71,58,3/23/2004,2004,Tuesday,13.36,70767,24%,NC,South
Thomasina,Steward,F,4/8/1992,25.32,54,6/29/2016,2016,Wednesday,1.08,177041,7%,WI,Midwest
Adah,Hofmann,F,3/15/1977,40.4,60,8/16/2001,2001,Thursday,15.96,101648,2%,WI,Midwest
Amina,Valerio,F,10/2/1978,38.85,41,7/13/2012,2012,Friday,5.04,67544,27%,OK,South
Corine,Rau,F,4/28/1960,57.29,45,11/23/1992,1992,Monday,24.69,180705,23%,LA,South
Keena,Hite,F,3/21/1990,27.37,54,1/28/2017,2017,Saturday,0.5,198675,20%,SC,South
Delmar,Rossi,M,12/4/1974,42.68,62,4/23/2006,2006,Sunday,11.27,142412,5%,WV,South
Lannie,Herring,F,12/3/1986,30.67,44,3/8/2010,2010,Monday,7.39,148260,2%,PA,Northeast
Dylan,Conti,M,12/29/1979,37.61,52,2/9/2003,2003,Sunday,14.47,169534,1%,KY,South
Sanora,Krauss,F,4/28/1994,23.27,40,6/19/2016,2016,Sunday,1.11,59256,15%,MI,Midwest
Kelvin,Wiseman,M,8/25/1975,41.95,71,7/8/2008,2008,Tuesday,9.06,159456,26%,LA,South
Harriett,Centeno,F,6/12/1979,38.15,55,2/13/2002,2002,Wednesday,15.46,60760,18%,NM,West
Callie,Ransom,F,11/6/1981,35.75,41,4/17/2011,2011,Sunday,6.28,101133,29%,IN,Midwest
Victor,Enriquez,M,11/14/1970,46.73,79,7/30/2007,2007,Monday,10,177156,19%,CA,West
Rosalie,Vincent,F,11/2/1987,29.76,40,5/6/2011,2011,Friday,6.23,107672,5%,VA,South
Debi,Milligan,F,7/25/1993,24.02,49,5/23/2017,2017,Tuesday,0.18,150369,21%,AR,South
Carmine,Prentice,M,4/13/1989,28.31,59,11/12/2012,2012,Monday,4.71,69534,27%,GA,South
Sylvie,Walsh,F,6/21/1974,43.13,43,12/18/2006,2006,Monday,10.62,80272,19%,IN,Midwest
Yu,Bernard,F,3/17/1996,21.38,49,4/25/2017,2017,Tuesday,0.26,53359,0%,NC,South
Devin,Odonnell,M,9/9/1969,47.92,59,6/11/2013,2013,Tuesday,4.13,108189,29%,TX,South
Diamond,Zepeda,F,9/11/1972,44.91,58,9/13/1999,1999,Monday,17.88,51426,29%,IA,Midwest
Teodoro,Shaver,M,8/18/1972,44.97,83,5/1/1999,1999,Saturday,18.25,128539,0%,KY,South
Gertrude,Hancock,F,3/22/1981,36.38,53,5/15/2012,2012,Tuesday,5.21,126724,9%,MO,Midwest
Marlon,Presley,M,10/11/1965,51.83,61,3/4/2013,2013,Monday,4.4,73604,28%,OH,Midwest
Detra,Wills,F,12/8/1985,31.66,49,7/4/2013,2013,Thursday,4.07,118657,23%,NJ,Northeast
